,ABF,AAL,ADM,AHT,ANTO,AVV,AZN,BA,BARC,BATS,BDEV,BKG,BLND,BNZL,BP,BRBY,BT-A,CCL,CDI,CNA,CPG,CRDA,CRH,DCC,DGE,DRX,DSG,EXPN,FERG,FRES
04/01/2010,822,2756.736328,1174,82.75,1026,881.3389893,2941,361,259.1565857,2032,126.5,829,466.7999878,672.5,613.5999756,611,138.8000031,2150,4.267499924,281.2999878,506.4219055,912.6517944,1675.5,1744.659058,1083,420,39.16659927,618.5,1478.994995,800
05/01/2010,821,2802.026611,1183,83.94999695,1020,894.1740112,2907.5,366.8999939,275.3682861,2020,127.5,835,470,663,620.0999756,603.5,141.6000061,2155,4.465000153,281.1000061,505.0958862,890.5834961,1615.199951,1766.197998,1063,444,39.16659927,609,1482.415894,823
06/01/2010,820,2850.302979,1163,83.5,1038,920.6998291,2875,371.3999939,283.5895996,2032,132,835.5,457.8999939,660,619.4000244,596.5,144.6000061,2161,4.650000095,278.8999939,512.4995117,905.4371948,1574.800049,1783.428955,1060,438.2999878,39.16659927,605,1551.975342,839.5
07/01/2010,838.5,2830.892822,1154,84.84999847,1023,941.2357788,2910.5,371.5,291.4414978,2044.5,138.3999939,860.5,458.7000122,663,623.2999878,600,142.8000031,2150,4.737500191,274.7999878,504.4328918,917.5322876,1543.800049,1809.276001,1067,435.1000061,46.66659927,601,1607.851074,853
08/01/2010,850,2883.648682,1149,89.15000153,1024,936.9575195,2908.5,368.5,296.1064148,2035,141.8999939,876,461.3999939,663.5,621.7000122,598.5,143,2206,4.795000076,279.5,508.5213928,917.00177,1562.800049,1822.198975,1067,441.6000061,39.16659927,599,1639.780151,866
11/01/2010,853.5,2831.888184,1134,89.5,1020,924.1223755,2955,367.3999939,292.8270874,2022.5,138.6999969,868,473.3999939,674,635.5,600.5,142.6000061,2219,5.309999943,280.2000122,514.2675171,918.0628052,1594.599976,1809.276001,1064,438.2000122,58.33330154,600.5,1626.096191,852
12/01/2010,855.5,2758.229248,1138,87,1001,900.1636963,2928.5,366.2999878,292.4576111,2025,136.1000061,860.5,473.6000061,658.5,633.7999878,586,144.3000031,2177,5.235000134,279.7999878,505.0958862,901.0872192,1563.599976,1792.045044,1056,429,39.16659927,598,1650.042969,808
13/01/2010,859.5,2738.321533,1163,87.5,1000,892.4627075,2962,366.5,289.7786865,2023,139.1999969,861,466,664.5,626.5999756,585.5,146.8999939,2180,5.230000019,281.8999939,503.3279114,888.4616089,1589.400024,1809.276001,1059,433.3999939,39.16659927,595,1654.604248,795.5
14/01/2010,869,2736.330811,1170,88,1031,900.1636963,3020,368.5,294.3512878,2022,137,860,455.7999878,646.5,628.4000244,581,146.6999969,2240,5.25,285.1000061,510.178894,868.0908203,1573.900024,1822.198975,1071,427,39.16659927,598.5,1704.322144,804.5
15/01/2010,865.5,2709.952881,1148,90,1025,890.7512817,3000.5,368,287.4693909,2047,135.1000061,839,454.5,640.5,629,590,145,2233,5.25,285.1000061,508.300415,891.7506104,1552.400024,1804.107056,1064,430.3999939,39.16659927,603.5,1699.07666,797
18/01/2010,869,2796.054199,1150,91.15000153,1040,889.8956909,3016.5,364.7000122,293.5198975,2067,133.3999939,847,459,639.5,629,599.5,146.8999939,2252,,285.5,514.3779907,897.7982178,1566.199951,1816.167969,1075,435,38.33330154,608.5,1696.796143,804
19/01/2010,882.5,2783.611816,1148,87.05000305,1039,895.885376,3067.5,366.2999878,288.3006897,2085,130.5,833,454.3999939,639,629.5,649,146,2285,5.40500021,287.5,507.1954041,901.0872192,1565.300049,1811.860962,1077,437.7000122,38.33330154,617,1663.726807,807
